,id
328,17947609213699840
329,18049109737307967
330,17859421397689777
331,18002894839397012
332,17968230985525604
333,18217357123118224
334,17961951607522585
335,17951619238631675
336,17877211682629271
337,17951067592718363
338,17949619531666655
339,18027698194341226
340,17907354251313520
341,17912932673488358
342,17936400640904266
343,17946985246704160
344,17850604307708110
345,17951830354643501
346,18278353330015835
347,18264979660068650
348,17911782917481692
349,17932140583950273
350,17907742655389091
351,18151729045231493
352,17916331385256426
353,18281022061048117
354,17922138881175704
355,17917312952260100
356,17956363360614613
357,17943503878706471
358,17914458506174570
359,17892113432550353
360,17916369344261707
361,17858940020656170
362,17931492454960199
363,18078465163292469
364,17899142048408960
365,18185913349089015
366,17968267177481431
367,17907467717459618
368,17931758410973756
369,18276105844007475
370,17936945491803341
371,17842289489729231
372,17995866172377226
373,17883333749528563
374,18024274204349316
375,17874015089596800
376,18005354416384577
377,18278721334034269
378,17859587984677893
379,18024755557345503
380,18211020634137893
381,17929855972990603
382,17896698539438614
383,17915673092255413
384,17851571342691390
385,17918587691190839
386,17928165763930641
387,17942551429768417
388,17856708521690438
389,18114773797302160
390,18147744709243360
391,17948226139678857
392,17922464723129285
393,17964370927496387
394,18262062784068873
395,18026857264340261
396,17909819594349732
397,17921863196142231
398,18216414982117291
399,17957231452601611
400,17943009847765765
401,17846168420715637
402,17888866355566042
403,17935243819804106
404,17959898512521137
405,18129225601247111
406,17869054085643172
407,17926980656031458
408,17842179080725575
409,17957327713580095
410,17986112734440856
411,17956472920580633
412,17876835950571308
413,17927295449026009
414,17971926109492374
415,17909066210351308
416,17952085030623559
417,18146796541224471
418,17930467543951801
419,17928528260002863
420,17973374353485586
421,17943522835742211
422,17915376494201543
423,17925609314089346
424,17896832489409470
425,17917438181082845
426,18273232180060604
427,17847163541697335
428,18121903108254368
429,17913589457138844
430,17944708336700226
431,17945090761705871
432,17980128091457084
433,17924032009980891
434,17876593496618429
435,17887791377561645
436,17860349327639804
437,17897497217392484
438,17929253578957243
439,17977086859440753
440,17936573983851548
441,17959855846513746
442,17922951878087093
443,17914120859245618
444,18216060034111660
445,17909396006337916
446,17956414933571812
447,17925791069038147
448,18145758841233179
449,17872746779632698
450,17886850586578244
451,17975059753466542
452,17940826396774029
453,17931551497911456
454,18208486465139993
455,17914872611266932
456,18277252594027553
457,17914677503210959
458,18199077274126698
459,17927532043974107
460,17971494217487521
461,17900903750331513
462,17951233489614782
463,17911582562152596
464,17949911689627770
465,17895756209389963
466,17935229227852967
467,17895159056413905
468,17908405940479593
469,17855625224652822
470,17845001507700529
471,17996348290399670
472,17949275782625995
473,17927311354893980
474,17903986154298674
475,17944297033711381
476,17911782734256659
477,17980398622451285
478,18217169710100114
479,17938936507694707
480,17905360388256900
481,17884317176593751
482,17926762423979091
483,17887835603541687
484,17900909705433488
485,17885694206553796
486,17923734260045443
487,17944965622714634
488,17987000344403134
489,17928656776942091
490,17918458502029110
491,17903979371284674
492,17923663325020964
493,17927782357946260
494,17938432147771749
495,17892654431444455
496,18073424401291270
497,17909883887155270
498,18142131550232419
499,17911625825252447
500,17916729407164014
501,17924303384052920
502,17912951759243789
