end_time,value
2022-09-26T07:00:00+0000,0.0
2022-09-27T07:00:00+0000,0.0
2022-09-24T07:00:00+0000,0.0
2022-09-25T07:00:00+0000,0.0
2022-09-22T07:00:00+0000,0.0
2022-09-23T07:00:00+0000,0.0
2022-09-20T07:00:00+0000,0.0
2022-09-21T07:00:00+0000,0.0
2022-09-18T07:00:00+0000,0.0
2022-09-19T07:00:00+0000,0.0
2022-09-16T07:00:00+0000,0.0
2022-09-17T07:00:00+0000,0.0
2022-09-14T07:00:00+0000,0.0
2022-09-15T07:00:00+0000,0.0
2022-09-12T07:00:00+0000,0.0
2022-09-13T07:00:00+0000,0.0
2022-09-10T07:00:00+0000,0.0
2022-09-11T07:00:00+0000,0.0
2022-09-08T07:00:00+0000,0.0
2022-09-09T07:00:00+0000,0.0
2022-09-06T07:00:00+0000,0.0
2022-09-07T07:00:00+0000,0.0
2022-09-04T07:00:00+0000,0.0
2022-09-05T07:00:00+0000,0.0
2022-09-02T07:00:00+0000,0.0
2022-09-03T07:00:00+0000,0.0
2022-08-31T07:00:00+0000,0.0
2022-09-01T07:00:00+0000,0.0
2022-08-29T07:00:00+0000,0.0
2022-08-30T07:00:00+0000,0.0
2022-08-27T07:00:00+0000,0.0
2022-08-28T07:00:00+0000,0.0
2022-08-25T07:00:00+0000,0.0
2022-08-26T07:00:00+0000,0.0
2022-08-23T07:00:00+0000,0.0
2022-08-24T07:00:00+0000,0.0
2022-08-21T07:00:00+0000,0.0
2022-08-22T07:00:00+0000,0.0
2022-08-19T07:00:00+0000,0.0
2022-08-20T07:00:00+0000,0.0
2022-08-17T07:00:00+0000,0.0
2022-08-18T07:00:00+0000,0.0
2022-08-15T07:00:00+0000,0.0
2022-08-16T07:00:00+0000,0.0
2022-08-13T07:00:00+0000,0.0
2022-08-14T07:00:00+0000,0.0
2022-08-11T07:00:00+0000,0.0
2022-08-12T07:00:00+0000,0.0
2022-08-09T07:00:00+0000,0.0
2022-08-10T07:00:00+0000,0.0
2022-08-07T07:00:00+0000,0.0
2022-08-08T07:00:00+0000,0.0
2022-08-05T07:00:00+0000,0.0
2022-08-06T07:00:00+0000,0.0
2022-08-03T07:00:00+0000,0.0
2022-08-04T07:00:00+0000,0.0
2022-08-01T07:00:00+0000,0.0
2022-08-02T07:00:00+0000,0.0
2022-07-30T07:00:00+0000,0.0
2022-07-31T07:00:00+0000,0.0
2022-07-28T07:00:00+0000,0.0
2022-07-29T07:00:00+0000,0.0
2022-07-26T07:00:00+0000,0.0
2022-07-27T07:00:00+0000,0.0
2022-07-24T07:00:00+0000,0.0
2022-07-25T07:00:00+0000,0.0
2022-07-22T07:00:00+0000,0.0
2022-07-23T07:00:00+0000,0.0
2022-07-20T07:00:00+0000,0.0
2022-07-21T07:00:00+0000,0.0
2022-07-18T07:00:00+0000,0.0
2022-07-19T07:00:00+0000,0.0
2022-07-16T07:00:00+0000,0.0
2022-07-17T07:00:00+0000,0.0
2022-07-14T07:00:00+0000,0.0
2022-07-15T07:00:00+0000,0.0
2022-07-12T07:00:00+0000,0.0
2022-07-13T07:00:00+0000,0.0
2022-07-10T07:00:00+0000,0.0
2022-07-11T07:00:00+0000,0.0
2022-07-08T07:00:00+0000,0.0
2022-07-09T07:00:00+0000,0.0
2022-07-06T07:00:00+0000,0.0
2022-07-07T07:00:00+0000,0.0
2022-07-04T07:00:00+0000,0.0
2022-07-05T07:00:00+0000,0.0
2022-07-02T07:00:00+0000,0.0
2022-07-03T07:00:00+0000,0.0
2022-06-30T07:00:00+0000,0.0
2022-07-01T07:00:00+0000,0.0
2022-06-28T07:00:00+0000,0.0
2022-06-29T07:00:00+0000,0.0
2022-06-26T07:00:00+0000,0.0
2022-06-27T07:00:00+0000,0.0
2022-06-24T07:00:00+0000,0.0
2022-06-25T07:00:00+0000,0.0
2022-06-22T07:00:00+0000,0.0
2022-06-23T07:00:00+0000,0.0
2022-06-20T07:00:00+0000,0.0
2022-06-21T07:00:00+0000,0.0
2022-06-18T07:00:00+0000,0.0
2022-06-19T07:00:00+0000,0.0
2022-06-16T07:00:00+0000,0.0
2022-06-17T07:00:00+0000,0.0
2022-06-14T07:00:00+0000,0.0
2022-06-15T07:00:00+0000,0.0
2022-06-12T07:00:00+0000,0.0
2022-06-13T07:00:00+0000,0.0
2022-06-10T07:00:00+0000,0.0
2022-06-11T07:00:00+0000,0.0
