Date,Hours,Value
2023-06-18 07:00:00,18,172
2023-06-18 07:00:00,19,202
2023-06-18 07:00:00,20,289
2023-06-18 07:00:00,21,306
2023-06-18 07:00:00,22,323
2023-06-18 07:00:00,23,305
2023-06-19 07:00:00,0,323
2023-06-19 07:00:00,1,321
2023-06-19 07:00:00,2,349
2023-06-19 07:00:00,3,334
2023-06-19 07:00:00,4,314
2023-06-19 07:00:00,5,321
2023-06-19 07:00:00,6,335
2023-06-19 07:00:00,7,352
2023-06-19 07:00:00,8,360
2023-06-19 07:00:00,9,393
2023-06-19 07:00:00,10,339
2023-06-19 07:00:00,11,216
2023-06-19 07:00:00,12,87
2023-06-19 07:00:00,13,39
2023-06-19 07:00:00,14,30
2023-06-19 07:00:00,15,28
2023-06-19 07:00:00,16,44
2023-06-19 07:00:00,17,83
2023-06-19 07:00:00,18,167
2023-06-19 07:00:00,19,215
2023-06-19 07:00:00,20,261
2023-06-19 07:00:00,21,310
2023-06-19 07:00:00,22,313
2023-06-19 07:00:00,23,289
2023-06-20 07:00:00,0,321
2023-06-20 07:00:00,1,333
2023-06-20 07:00:00,2,315
2023-06-20 07:00:00,3,308
2023-06-20 07:00:00,4,305
2023-06-20 07:00:00,5,334
2023-06-20 07:00:00,6,369
2023-06-20 07:00:00,7,339
2023-06-20 07:00:00,8,361
2023-06-20 07:00:00,9,395
2023-06-20 07:00:00,10,346
2023-06-20 07:00:00,11,204
2023-06-20 07:00:00,12,96
2023-06-20 07:00:00,13,42
2023-06-20 07:00:00,14,23
2023-06-20 07:00:00,15,26
2023-06-20 07:00:00,16,32
2023-06-20 07:00:00,17,80
2023-06-20 07:00:00,18,168
2023-06-20 07:00:00,19,212
2023-06-20 07:00:00,20,289
2023-06-20 07:00:00,21,305
2023-06-20 07:00:00,22,300
2023-06-20 07:00:00,23,303
2023-06-21 07:00:00,0,316
2023-06-21 07:00:00,1,350
2023-06-21 07:00:00,2,338
2023-06-21 07:00:00,3,332
2023-06-21 07:00:00,4,329
2023-06-21 07:00:00,5,317
2023-06-21 07:00:00,6,357
2023-06-21 07:00:00,7,342
2023-06-21 07:00:00,8,375
2023-06-21 07:00:00,9,404
2023-06-21 07:00:00,10,351
2023-06-21 07:00:00,11,219
2023-06-21 07:00:00,12,81
2023-06-21 07:00:00,13,38
2023-06-21 07:00:00,14,26
2023-06-21 07:00:00,15,25
2023-06-21 07:00:00,16,39
2023-06-21 07:00:00,17,91
2023-06-21 07:00:00,18,175
2023-06-21 07:00:00,19,223
2023-06-21 07:00:00,20,282
2023-06-21 07:00:00,21,328
2023-06-21 07:00:00,22,317
2023-06-21 07:00:00,23,308
2023-06-22 07:00:00,0,325
2023-06-22 07:00:00,1,320
2023-06-22 07:00:00,2,331
2023-06-22 07:00:00,3,322
2023-06-22 07:00:00,4,315
2023-06-22 07:00:00,5,318
2023-06-22 07:00:00,6,358
2023-06-22 07:00:00,7,352
2023-06-22 07:00:00,8,347
2023-06-22 07:00:00,9,399
2023-06-22 07:00:00,10,351
2023-06-22 07:00:00,11,200
2023-06-22 07:00:00,12,76
2023-06-22 07:00:00,13,44
2023-06-22 07:00:00,14,24
2023-06-22 07:00:00,15,28
2023-06-22 07:00:00,16,39
2023-06-22 07:00:00,17,82
2023-06-22 07:00:00,18,176
2023-06-22 07:00:00,19,223
2023-06-22 07:00:00,20,298
2023-06-22 07:00:00,21,298
2023-06-22 07:00:00,22,328
2023-06-22 07:00:00,23,309
2023-06-23 07:00:00,0,330
2023-06-23 07:00:00,1,313
2023-06-23 07:00:00,2,328
2023-06-23 07:00:00,3,324
2023-06-23 07:00:00,4,313
2023-06-23 07:00:00,5,333
2023-06-23 07:00:00,6,326
2023-06-23 07:00:00,7,349
2023-06-23 07:00:00,8,353
2023-06-23 07:00:00,9,380
2023-06-23 07:00:00,10,370
2023-06-23 07:00:00,11,213
2023-06-23 07:00:00,12,102
2023-06-23 07:00:00,13,44
2023-06-23 07:00:00,14,28
2023-06-23 07:00:00,15,27
2023-06-23 07:00:00,16,39
2023-06-23 07:00:00,17,85
2023-06-23 07:00:00,18,153
2023-06-23 07:00:00,19,214
2023-06-23 07:00:00,20,295
2023-06-23 07:00:00,21,307
2023-06-23 07:00:00,22,329
2023-06-23 07:00:00,23,309
2023-06-24 07:00:00,0,349
2023-06-24 07:00:00,1,332
2023-06-24 07:00:00,2,318
2023-06-24 07:00:00,3,314
2023-06-24 07:00:00,4,310
2023-06-24 07:00:00,5,327
2023-06-24 07:00:00,6,336
2023-06-24 07:00:00,7,362
2023-06-24 07:00:00,8,382
2023-06-24 07:00:00,9,418
2023-06-24 07:00:00,10,382
2023-06-24 07:00:00,11,246
2023-06-24 07:00:00,12,122
2023-06-24 07:00:00,13,57
2023-06-24 07:00:00,14,32
2023-06-24 07:00:00,15,32
2023-06-24 07:00:00,16,47
2023-06-24 07:00:00,17,76
2023-06-24 07:00:00,18,153
2023-06-24 07:00:00,19,235
2023-06-24 07:00:00,20,261
2023-06-24 07:00:00,21,272
2023-06-24 07:00:00,22,311
2023-06-24 07:00:00,23,300
2023-06-25 07:00:00,0,309
2023-06-25 07:00:00,1,312
2023-06-25 07:00:00,2,321
2023-06-25 07:00:00,3,333
2023-06-25 07:00:00,4,295
2023-06-25 07:00:00,5,315
2023-06-25 07:00:00,6,354
2023-06-25 07:00:00,7,353
2023-06-25 07:00:00,8,348
2023-06-25 07:00:00,9,396
2023-06-25 07:00:00,10,350
2023-06-25 07:00:00,11,224
2023-06-25 07:00:00,12,100
2023-06-25 07:00:00,13,54
2023-06-25 07:00:00,14,28
2023-06-25 07:00:00,15,30
2023-06-25 07:00:00,16,35
2023-06-25 07:00:00,17,92
2023-06-25 07:00:00,18,154
2023-06-25 07:00:00,19,214
2023-06-25 07:00:00,20,288
2023-06-25 07:00:00,21,316
2023-06-25 07:00:00,22,353
2023-06-25 07:00:00,23,303
2023-06-26 07:00:00,0,337
2023-06-26 07:00:00,1,347
2023-06-26 07:00:00,2,323
2023-06-26 07:00:00,3,318
2023-06-26 07:00:00,4,297
2023-06-26 07:00:00,5,309
2023-06-26 07:00:00,6,339
2023-06-26 07:00:00,7,355
2023-06-26 07:00:00,8,373
2023-06-26 07:00:00,9,405
2023-06-26 07:00:00,10,361
2023-06-26 07:00:00,11,212
2023-06-26 07:00:00,12,89
2023-06-26 07:00:00,13,57
2023-06-26 07:00:00,14,34
2023-06-26 07:00:00,15,29
2023-06-26 07:00:00,16,39
2023-06-26 07:00:00,17,100
2023-06-26 07:00:00,18,166
2023-06-26 07:00:00,19,226
2023-06-26 07:00:00,20,281
2023-06-26 07:00:00,21,341
2023-06-26 07:00:00,22,333
2023-06-26 07:00:00,23,329
2023-06-27 07:00:00,0,347
2023-06-27 07:00:00,1,357
2023-06-27 07:00:00,2,336
2023-06-27 07:00:00,3,318
2023-06-27 07:00:00,4,318
2023-06-27 07:00:00,5,315
2023-06-27 07:00:00,6,341
2023-06-27 07:00:00,7,360
2023-06-27 07:00:00,8,382
2023-06-27 07:00:00,9,404
2023-06-27 07:00:00,10,363
2023-06-27 07:00:00,11,206
2023-06-27 07:00:00,12,82
2023-06-27 07:00:00,13,47
2023-06-27 07:00:00,14,36
2023-06-27 07:00:00,15,23
2023-06-27 07:00:00,16,55
2023-06-27 07:00:00,17,96
2023-06-27 07:00:00,18,184
2023-06-27 07:00:00,19,212
2023-06-27 07:00:00,20,281
2023-06-27 07:00:00,21,319
2023-06-27 07:00:00,22,302
2023-06-27 07:00:00,23,308
2023-06-28 07:00:00,0,312
2023-06-28 07:00:00,1,340
2023-06-28 07:00:00,2,338
2023-06-28 07:00:00,3,304
2023-06-28 07:00:00,4,319
